τ_H,τ_M,τ_H_2,τ_M_2,T,τ_M_4
0.0018796521495705854,-0.004840494956509181,0.001761753439332401,0.011211413894811152,2.73,0.01693410440075824
0.03455089760422169,0.03625593594523837,0.03716804070049542,0.04682817695210312,2.72,0.031229941328237223
-0.0020104902976709714,0.04777258137936367,-0.002025134306331873,0.07738255835200254,2.71,0.08000604368039144
0.009774412285978529,0.03435275147317149,0.008854258719119748,0.04847597450267104,2.7,0.0361062507934879
0.01376306634192691,0.03806942417425407,0.014288440101990894,0.05379175466673997,2.69,0.019347060697118227
0.010990852333638505,0.1071388355838949,0.012501717022077207,0.1115479416624794,2.68,0.06544134055738876
0.044656820521678874,0.1146796700296548,0.044906063713558576,0.09493068485183655,2.67,0.04331539497483625
-0.011753777603220179,0.12686360583078388,-0.011439438067979226,0.14109987348449604,2.66,0.11358674617150771
0.0254075360303139,0.1337100773939248,0.02706408912819033,0.1338186935383159,2.65,0.07070476260965516
-0.026501583483213565,0.17488247151496444,-0.025851043300470597,0.20174220450222002,2.64,0.17020696573855337
-0.015817685971101746,0.2017036437144023,-0.015636093486392583,0.2550112863667258,2.63,0.20136671476858053
0.01643490167771319,0.25226238694189124,0.01715987593229761,0.24676945714412937,2.62,0.13381887890653452
0.008214990600511543,0.22199173788202106,0.0072988511290781,0.23083169902304865,2.61,0.15017120307785872
0.18721995015871587,-0.03619977822389571,0.18499292756593216,-0.04048408157574351,2.6,-0.025029126057265958
0.12247436577487607,0.03546290308328913,0.12026472175775975,0.021188065316722852,2.59,-0.007867700628218545
0.10706557045627649,0.03259384258259516,0.10617909871611964,0.006663254362043074,2.58,-0.015038518033303775
0.09904646916999908,0.0200615842798364,0.09756854295095993,0.014263972275830027,2.57,-0.009949126423936031
0.10320979354107075,-0.0186222118872215,0.10149062930971718,-0.014455385006676251,2.56,-0.015356387266065282
0.1032822507276899,0.0391067400277904,0.10292310684827355,0.03520136799528401,2.55,0.0005990586252759176
0.08705141659143868,-0.007229338597622594,0.08793253210053964,-0.016236334449423295,2.54,-0.03127408517630404
0.10420628472660604,-0.026667064049313082,0.10180092678288796,-0.03309897149923833,2.53,-0.0189926741228114
0.05414267148756364,0.016186642906505278,0.0537203535784509,0.03385210085729038,2.52,0.035967950384462176
0.11852106203577376,0.03597229099853611,0.11553328505687012,0.021607388731689724,2.51,-0.0012774444512780475
0.03854243970308956,-0.019308084809975985,0.037976837719774954,-0.013071393216815014,2.5,0.0026099090547041797
0.050491181619063914,0.011384314347716355,0.04967857485358203,0.008489790028978868,2.49,-0.0014007845764249748
0.01394962078787876,0.0033489985998323155,0.012161696184175341,0.02598901888533318,2.48,0.03632155898647925
0.054607452668153846,0.005023625702623812,0.05445683646911163,0.003804665097775418,2.47,0.01401178328530214
0.03415169042070198,-0.013196174905653706,0.0341014940919459,-0.02107173114157502,2.46,-0.01666399999062758
0.009242352887727522,0.026493099672517426,0.010355575617128831,0.06836229482258384,2.45,0.037399443294247506
0.032775308537243975,-0.015226296664269825,0.03270469586063966,-0.020848102647856033,2.44,-0.024965946303240425
