H,std_H,M,std_M,H_2,std_H_2,M_2,std_M_2,T,M_4,std_M_4
-1446.592,100.21127599145633,638.674,190.1047120024265,2.102660672e6,290198.50604822394,444008.14,203160.19790293658,2.28,2.38376020332208e11,1.649965464667575e11
-1472.736,97.1314821714815,678.238,172.7688062597424,2.178376416e6,285771.1759875938,489825.996,191945.7857937495,2.27,2.76735847856688e11,1.6670455557093668e11
-1488.872,96.640545378278,694.406,171.7534582313102,2.226069888e6,285462.57717602747,511669.444,192909.07245445484,2.26,2.98982316248272e11,1.7097392611182684e11
-1510.164,99.59729275800986,723.548,158.0334720060098,2.290505008e6,297331.4399386112,548471.312,186472.2703863867,2.25,3.35557915802432e11,1.7442713104504468e11
-1521.916,94.69428679678596,742.362,141.43458097896956,2.325186352e6,284323.012098868,571085.076,172338.3140775298,2.24,3.55808958034512e11,1.6761414549707162e11
-1535.288,94.57198801398286,748.524,145.72695622214087,2.36604416e6,286399.7929076485,581503.288,174417.98195099295,2.23,3.6853728475024e11,1.6978658471079114e11
-1551.652,88.72424069490191,769.63,122.4763632688347,2.415488048e6,273407.757727185,607315.796,159683.49477322123,2.22,3.943057957556e11,1.6801652223217712e11
-1568.148,84.77667828584217,790.156,109.52758536531312,2.466268048e6,264363.27433496277,636330.8,145558.7998579546,2.21,4.26083063880512e11,1.597797743253476e11
-1582.964,84.58530237208696,803.946,100.75781469057983,2.512922544e6,265120.5106246628,656471.156,138386.3103158202,2.2,4.5008599877192e11,1.5628581740945108e11
-1599.02,80.98008010229044,815.382,97.02401628326739,2.563416176e6,256366.7938175717,674252.052,131407.0557231503,2.19,4.71866376105744e11,1.5222189434211557e11
-1608.22,83.49425663415953,822.336,88.90556396144903,2.593335888e6,266688.77054526756,684132.792,128979.61260801354,2.18,4.8465678181776e11,1.5598477741138992e11
-1623.788,75.5893431960141,839.006,69.13461911054085,2.642395504e6,244682.01206326,708705.884,107649.81980898739,2.17,5.13840925237424e11,1.3915541868276883e11
-1635.36,75.57283674478319,847.608,67.16592586719547,2.680107872e6,245918.34282934558,722946.072,104793.32419557449,2.16,5.33621682175392e11,1.3725734045384575e11
-1646.304,75.944684996247,853.616,68.2454832936949,2.716078688e6,247983.23190806716,733313.064,104951.99062125155,2.15,5.48751955248096e11,1.380140188705467e11
-1662.396,70.45366493592014,864.066,59.26462637982239,2.768519216e6,232613.05230060918,750118.836,94322.82172071857,2.14,5.71566166024656e11,1.2908380404395242e11
-1672.26,72.87256555666755,871.726,54.71923902174736,2.801758608e6,242116.81691254367,762897.42,90499.71914500577,2.13,5.90194482408816e11,1.286420820643284e11
-1681.2,70.84175713909525,877.098,60.464389009882,2.831446976e6,236317.69691490012,772953.188,91641.43668381749,2.12,6.0584638560392e11,1.2575942143317781e11
-1693.468,68.92073014008952,883.728,49.51615762421258,2.872579184e6,232117.2372103897,783424.576,83708.11385203282,2.11,6.2075410755712e11,1.2302445250687282e11
-1702.756,68.08183017222436,889.428,45.10027550748278,2.904008496e6,230786.53505194635,793114.168,77828.39319203906,2.1,6.350812850104e11,1.1779689993333455e11
-1712.208,61.965316399066644,895.782,38.98569430394129,2.935492096e6,211523.38725030058,803943.756,68414.1743917894,2.09,6.5100138156984e11,1.0646652935992477e11
-1716.06,64.44897260678458,897.948,43.955994192208024,2.94901144e6,219782.92363867027,808240.808,73559.04888909728,2.08,6.58658726456288e11,1.0936971757941757e11
-1729.284,62.02146407499588,904.436,38.45163757803343,2.994265968e6,213689.33315910966,819481.528,67558.48889001527,2.07,6.76109560004896e11,1.0578909611527324e11
-1738.344,60.7345894392508,909.002,36.92971432058201,3.025524864e6,210563.60525684454,827647.076,65350.27260843079,2.06,6.89266069883216e11,1.0368050632776013e11
-1747.44,58.19499168362392,913.766,34.360120224787664,3.056929824e6,202585.30798575873,836147.74,61351.63432364767,2.05,7.02903302118256e11,9.891336746927167e10
-1758.64,56.49919077790902,919.822,30.34965267375259,3.096003616e6,198317.93455756773,846992.692,55094.18222415216,2.04,7.2042895384744e11,9.128085016105576e10
-1766.364,58.7100193354624,922.586,32.79243735906112,3.1234852e6,206195.39534965227,852239.196,59176.51687457612,2.03,7.29810005487984e11,9.726327595742784e10
-1769.844,59.13578193196321,924.14,33.05269854158478,3.135841328e6,208214.42034380697,855126.128,59655.94242395392,2.02,7.34795967423296e11,9.830378750710745e10
-1782.636,54.416437338846904,930.662,28.35803120694267,3.180749296e6,193317.42660689,866935.132,51922.03071892077,2.01,7.5426972447256e11,8.760780177588826e10
-1789.052,51.744475906001654,933.922,27.062784600079688,3.203381872e6,184397.27818501458,872941.964,49658.44726343464,2.0,7.64491167935408e11,8.418264281545612e10
